x,y,z,data
5650,250,54.9375,1.99E-02
5750,250,54.9375,2.22E-02
5850,250,54.9375,1.41E-02
5950,250,54.9375,2.78E-02
50,350,54.9375,0.252264023
150,350,54.9375,4.28E-02
250,350,54.9375,0
350,350,54.9375,8.95E-03
450,350,54.9375,1.45E-02
550,350,54.9375,2.47E-02
650,350,54.9375,3.51E-02
750,350,54.9375,5.77E-02
850,350,54.9375,4.49E-02
950,350,54.9375,0
1050,350,54.9375,0
1150,350,54.9375,0.917218983
1250,350,54.9375,1.21669662
1350,350,54.9375,0.758262813
1450,350,54.9375,0.65839237
1550,350,54.9375,0.838930666
1650,350,54.9375,0.866557658
1750,350,54.9375,0.283124924
1850,350,54.9375,0
1950,350,54.9375,2.00E-02
2050,350,54.9375,0.776155472
2150,350,54.9375,0.823046625
2250,350,54.9375,0.743180275
2350,350,54.9375,0.484547526
2450,350,54.9375,0.947708547
2550,350,54.9375,1.6196481
2650,350,54.9375,0.194043323
2750,350,54.9375,0
2850,350,54.9375,0.144364998
2950,350,54.9375,7.83E-02
3050,350,54.9375,3.86E-02
3150,350,54.9375,1.57E-02
3250,350,54.9375,8.67E-03
3350,350,54.9375,1.07E-02
3450,350,54.9375,2.18E-02
3550,350,54.9375,4.47E-02
3650,350,54.9375,6.57E-02
3750,350,54.9375,0
3850,350,54.9375,0
3950,350,54.9375,0.601248026
4050,350,54.9375,0.787258804
4150,350,54.9375,0.688337326
4250,350,54.9375,0.680384099
4350,350,54.9375,0.808863342
4450,350,54.9375,0.781872511
4550,350,54.9375,0.18688339
4650,350,54.9375,1.04E-02
4750,350,54.9375,0.1153671
4850,350,54.9375,4.39E-02
4950,350,54.9375,2.65E-02
5050,350,54.9375,1.88E-02
5150,350,54.9375,1.83E-02
5250,350,54.9375,1.51E-02
5350,350,54.9375,1.27E-02
5450,350,54.9375,1.25E-02
5550,350,54.9375,1.27E-02
5650,350,54.9375,1.17E-02
5750,350,54.9375,1.33E-02
5850,350,54.9375,3.42E-03
5950,350,54.9375,1.86E-02
50,450,54.9375,0.268998504
150,450,54.9375,7.29E-02
250,450,54.9375,1.47E-02
350,450,54.9375,3.37E-02
450,450,54.9375,4.43E-02
550,450,54.9375,5.69E-02
650,450,54.9375,6.91E-02
750,450,54.9375,8.83E-02
850,450,54.9375,7.43E-02
950,450,54.9375,0
1050,450,54.9375,0
1150,450,54.9375,0.848370075
1250,450,54.9375,1.11526191
1350,450,54.9375,0.707204342
1450,450,54.9375,0.60926646
1550,450,54.9375,0.792044997
1650,450,54.9375,0.814507902
1750,450,54.9375,0.278221577
1850,450,54.9375,0
1950,450,54.9375,2.50E-02
2050,450,54.9375,0.694505215
2150,450,54.9375,0.750867426
2250,450,54.9375,0.640442371
2350,450,54.9375,0.405767262
2450,450,54.9375,0.845375061
2550,450,54.9375,1.41998386
2650,450,54.9375,0.189681813
2750,450,54.9375,0
2850,450,54.9375,0.152922884
2950,450,54.9375,0.118329607
3050,450,54.9375,8.86E-02
3150,450,54.9375,7.00E-02
3250,450,54.9375,6.46E-02
3350,450,54.9375,6.59E-02
3450,450,54.9375,7.51E-02
3550,450,54.9375,9.06E-02
3650,450,54.9375,0.101374343
3750,450,54.9375,0
3850,450,54.9375,0
3950,450,54.9375,0.55736202
4050,450,54.9375,0.72086668
4150,450,54.9375,0.626652718
4250,450,54.9375,0.619315565
4350,450,54.9375,0.748886704
4450,450,54.9375,0.718597233
4550,450,54.9375,0.183511257
4650,450,54.9375,1.55E-02
4750,450,54.9375,0.11394728
4850,450,54.9375,6.03E-02
4950,450,54.9375,4.03E-02
