x,y,z,data
50,350,54.9375,0.223021701
150,350,54.9375,0.169437945
250,350,54.9375,8.99E-02
350,350,54.9375,2.49E-02
450,350,54.9375,0
550,350,54.9375,0
650,350,54.9375,0
750,350,54.9375,0
850,350,54.9375,0
950,350,54.9375,0
1050,350,54.9375,2.41E-02
1150,350,54.9375,0.336402535
1250,350,54.9375,0.604223967
1350,350,54.9375,0.717999816
1450,350,54.9375,0.744427204
1550,350,54.9375,0.689391851
1650,350,54.9375,0.491307974
1750,350,54.9375,0.17223686
1850,350,54.9375,0
1950,350,54.9375,9.57E-03
2050,350,54.9375,0.271809518
2150,350,54.9375,0.511072218
2250,350,54.9375,0.645832956
2350,350,54.9375,0.740094244
2450,350,54.9375,0.802408993
2550,350,54.9375,0.701939046
2650,350,54.9375,0.378887117
2750,350,54.9375,0.109804779
2850,350,54.9375,2.41E-02
2950,350,54.9375,2.01E-02
3050,350,54.9375,4.12E-02
3150,350,54.9375,5.53E-02
3250,350,54.9375,5.34E-02
3350,350,54.9375,3.53E-02
3450,350,54.9375,8.60E-03
3550,350,54.9375,0
3650,350,54.9375,0
3750,350,54.9375,0
3850,350,54.9375,9.05E-03
3950,350,54.9375,0.233395368
4050,350,54.9375,0.46668452
4150,350,54.9375,0.594277143
4250,350,54.9375,0.699097037
4350,350,54.9375,0.718785703
4450,350,54.9375,0.617594659
4550,350,54.9375,0.394948661
4650,350,54.9375,0.208494693
4750,350,54.9375,0.119058013
4850,350,54.9375,7.62E-02
4950,350,54.9375,5.53E-02
5050,350,54.9375,4.42E-02
5150,350,54.9375,2.96E-02
5250,350,54.9375,2.41E-02
5350,350,54.9375,1.69E-02
5450,350,54.9375,1.12E-02
5550,350,54.9375,6.53E-03
5650,350,54.9375,3.41E-03
5750,350,54.9375,1.88E-03
5850,350,54.9375,1.76E-03
5950,350,54.9375,1.84E-03
50,450,54.9375,0.20212169
150,450,54.9375,0.154557884
250,450,54.9375,8.26E-02
350,450,54.9375,2.23E-02
450,450,54.9375,0
550,450,54.9375,0
650,450,54.9375,0
750,450,54.9375,0
850,450,54.9375,0
950,450,54.9375,0
1050,450,54.9375,1.03E-02
1150,450,54.9375,0.277718008
1250,450,54.9375,0.517474234
1350,450,54.9375,0.631324112
1450,450,54.9375,0.652256191
1550,450,54.9375,0.600695074
1650,450,54.9375,0.415665984
1750,450,54.9375,0.130364642
1850,450,54.9375,0
1950,450,54.9375,0
2050,450,54.9375,0.211566865
2150,450,54.9375,0.432621092
2250,450,54.9375,0.564536691
2350,450,54.9375,0.658799171
2450,450,54.9375,0.718037605
2550,450,54.9375,0.62326026
2650,450,54.9375,0.347451091
2750,450,54.9375,0.108984746
2850,450,54.9375,2.27E-02
2950,450,54.9375,1.71E-02
3050,450,54.9375,3.35E-02
3150,450,54.9375,4.64E-02
3250,450,54.9375,4.49E-02
3350,450,54.9375,2.89E-02
3450,450,54.9375,5.08E-03
3550,450,54.9375,0
3650,450,54.9375,0
3750,450,54.9375,0
3850,450,54.9375,0
3950,450,54.9375,0.199745506
4050,450,54.9375,0.399672061
4150,450,54.9375,0.543049634
4250,450,54.9375,0.626288474
4350,450,54.9375,0.65735513
4450,450,54.9375,0.56753701
4550,450,54.9375,0.371536762
4650,450,54.9375,0.204608068
4750,450,54.9375,0.119304657
4850,450,54.9375,7.83E-02
4950,450,54.9375,5.54E-02
5050,450,54.9375,3.80E-02
5150,450,54.9375,3.05E-02
5250,450,54.9375,2.17E-02
5350,450,54.9375,1.58E-02
5450,450,54.9375,1.04E-02
5550,450,54.9375,6.13E-03
5650,450,54.9375,3.34E-03
5750,450,54.9375,1.96E-03
5850,450,54.9375,1.71E-03
5950,450,54.9375,2.04E-03
50,50,154.8125,0.353662759
150,50,154.8125,0.275644571
250,50,154.8125,0.149756983
350,50,154.8125,3.16E-02
450,50,154.8125,0
550,50,154.8125,0
650,50,154.8125,0
750,50,154.8125,0
850,50,154.8125,0
950,50,154.8125,0
1050,50,154.8125,2.09E-02
1150,50,154.8125,0.461088419
1250,50,154.8125,0.923717618
1350,50,154.8125,1.17351699
1450,50,154.8125,1.23552263
1550,50,154.8125,1.11014771
1650,50,154.8125,0.761452198
1750,50,154.8125,0.296380579
1850,50,154.8125,0
1950,50,154.8125,4.44E-02
2050,50,154.8125,0.408359081
2150,50,154.8125,0.794772685
2250,50,154.8125,1.08797324
2350,50,154.8125,1.28639662
2450,50,154.8125,1.3398093
2550,50,154.8125,1.14865196
2650,50,154.8125,0.707706571
2750,50,154.8125,0.298804909
2850,50,154.8125,9.26E-02
2950,50,154.8125,4.13E-02
3050,50,154.8125,5.64E-02
3150,50,154.8125,7.59E-02
3250,50,154.8125,7.20E-02
3350,50,154.8125,4.17E-02
3450,50,154.8125,2.54E-03
3550,50,154.8125,0
3650,50,154.8125,0
3750,50,154.8125,0
3850,50,154.8125,1.09E-02
3950,50,154.8125,0.34286359
4050,50,154.8125,0.726966143
