%% x, y, z, Ex.real, Ex.imag, Ey.real, Ey.imag, Ez.real, Ez.imag, Hx.real, Hx.imag, Hy.real, Hy.imag, Hz.real, Hz.imag 
-7.500000e+02 , 6.000000e+02 , 5.000000e+01 , 1.051177e-07 , -5.519029e-09 , 2.931977e-08 , -3.830980e-09 , 1.245632e-07 , -3.645711e-10 , -6.757370e-08 , 6.050366e-09 , 1.906246e-07 , -1.176376e-08 , 2.323671e-08 , -5.270126e-09
-7.500000e+02 , 6.000000e+02 , 1.500000e+02 , 1.267925e-07 , -1.253844e-08 , 4.100180e-08 , -6.274691e-09 , 1.129070e-08 , -1.602750e-10 , -4.408281e-08 , 3.444450e-09 , 1.313118e-07 , -7.981716e-09 , 2.178446e-08 , -5.961700e-09
-7.500000e+02 , 6.000000e+02 , 2.500000e+02 , 1.291954e-07 , -1.544415e-08 , 4.235655e-08 , -7.206134e-09 , 3.268877e-09 , -2.986874e-11 , -1.416435e-09 , -2.876724e-09 , 1.271687e-08 , 4.056929e-09 , 1.963963e-08 , -5.991098e-09
-7.500000e+02 , 6.000000e+02 , 3.500000e+02 , 1.272505e-07 , -1.404577e-08 , 4.205386e-08 , -6.585353e-09 , -3.451801e-08 , 3.473841e-09 , 2.103496e-08 , -5.970246e-09 , -4.572181e-08 , 9.779443e-09 , 1.711019e-08 , -5.440649e-09
-7.500000e+02 , 6.000000e+02 , 4.500000e+02 , 1.215567e-07 , -1.201972e-08 , 4.036070e-08 , -5.648725e-09 , -4.101669e-08 , 3.620266e-09 , 2.251427e-08 , -5.548771e-09 , -4.272566e-08 , 8.262930e-09 , 1.433957e-08 , -4.906960e-09
-7.500000e+02 , 6.000000e+02 , 5.500000e+02 , 8.830235e-08 , -9.064135e-09 , 2.896683e-08 , -4.398976e-09 , -4.394522e-07 , 3.661753e-08 , 2.310286e-08 , -5.014769e-09 , -3.920082e-08 , 6.743288e-09 , 1.154362e-08 , -4.498464e-09
-7.500000e+02 , 6.000000e+02 , 6.500000e+02 , 2.813976e-08 , -5.247577e-09 , 8.221650e-09 , -2.888104e-09 , -4.414571e-07 , 3.667322e-08 , 2.291786e-08 , -4.399085e-09 , -3.505257e-08 , 5.193169e-09 , 8.865899e-09 , -4.234417e-09
-7.500000e+02 , 6.000000e+02 , 7.500000e+02 , -1.933275e-09 , -2.754361e-09 , -2.092638e-09 , -1.692689e-09 , -3.796243e-09 , 3.670422e-10 , 2.227290e-08 , -4.134066e-09 , -3.154909e-08 , 4.268043e-09 , 6.374126e-09 , -4.107650e-09
-7.500000e+02 , 6.000000e+02 , 8.500000e+02 , -2.257275e-09 , -1.540782e-09 , -2.095298e-09 , -8.249140e-10 , -3.648325e-09 , 4.187150e-10 , 2.130434e-08 , -3.989771e-09 , -2.860410e-08 , 3.584359e-09 , 4.111291e-09 , -4.057561e-09
-7.500000e+02 , 6.000000e+02 , 9.500000e+02 , -2.332403e-09 , -5.541923e-10 , -2.011424e-09 , -9.474331e-11 , -6.506511e-11 , 1.105849e-11 , 1.056100e-08 , -4.686809e-09 , -1.495955e-08 , 6.060508e-09 , 2.239310e-09 , -3.975235e-09
-7.500000e+02 , 6.000000e+02 , 1.050000e+03 , -2.080759e-09 , -3.139466e-10 , -1.836728e-09 , 2.906064e-11 , -1.267563e-09 , 3.713442e-10 , 6.952423e-10 , -4.266155e-09 , -2.812795e-09 , 6.960262e-09 , 1.638800e-09 , -3.361747e-09
-2.500000e+02 , 6.000000e+02 , 5.000000e+01 , 1.012898e-07 , -3.956857e-09 , 2.875074e-07 , 2.800654e-09 , 6.837965e-07 , -2.733693e-10 , -6.290533e-07 , 1.858450e-08 , 3.014815e-07 , -1.331926e-08 , -6.276091e-08 , 5.495968e-09
