%% x, y, z, Ex.real, Ex.imag, Ey.real, Ey.imag, Ez.real, Ez.imag, Hx.real, Hx.imag, Hy.real, Hy.imag, Hz.real, Hz.imag 
-7.500000e+02 , 1.400000e+03 , 5.000000e+01 , 1.005326e-08 , 6.484599e-10 , -9.322791e-08 , -3.294272e-09 , 1.273562e-07 , -4.163330e-10 , 1.571075e-07 , -2.576405e-09 , 8.458614e-08 , -3.574076e-09 , 7.635373e-08 , -1.731676e-08
-7.500000e+02 , 1.400000e+03 , 1.500000e+02 , 3.320986e-08 , -2.497765e-09 , -1.051689e-07 , 2.654119e-09 , 1.188327e-08 , -1.948063e-10 , 1.174535e-07 , -3.900068e-09 , 6.039251e-08 , -2.394201e-09 , 7.158179e-08 , -1.958913e-08
-7.500000e+02 , 1.400000e+03 , 2.500000e+02 , 3.608557e-08 , -4.156125e-09 , -1.064619e-07 , 5.569401e-09 , 4.038122e-09 , -8.187248e-11 , 2.802615e-08 , -1.591508e-09 , 1.951241e-08 , 1.384313e-09 , 6.453400e-08 , -1.968564e-08
-7.500000e+02 , 1.400000e+03 , 3.500000e+02 , 3.796542e-08 , -4.329970e-09 , -1.050516e-07 , 5.251888e-09 , -1.117411e-08 , 2.126045e-09 , -1.322250e-08 , -4.593676e-10 , -4.140735e-09 , 3.795341e-09 , 5.622240e-08 , -1.787684e-08
-7.500000e+02 , 1.400000e+03 , 4.500000e+02 , 3.872180e-08 , -4.068175e-09 , -1.010421e-07 , 4.640736e-09 , -1.988895e-08 , 2.407340e-09 , -5.723456e-09 , -1.645874e-09 , -9.036388e-09 , 3.958609e-09 , 4.711823e-08 , -1.612310e-08
-7.500000e+02 , 1.400000e+03 , 5.500000e+02 , 2.867063e-08 , -3.256668e-09 , -7.484800e-08 , 3.143565e-09 , -2.449172e-07 , 2.546873e-08 , 6.443635e-10 , -2.567212e-09 , -1.230352e-08 , 3.935323e-09 , 3.793083e-08 , -1.478073e-08
-7.500000e+02 , 1.400000e+03 , 6.500000e+02 , 8.632129e-09 , -1.994006e-09 , -2.690133e-08 , 7.622208e-10 , -2.490057e-07 , 2.561542e-08 , 6.333762e-09 , -3.343345e-09 , -1.412566e-08 , 3.780394e-09 , 2.913196e-08 , -1.391301e-08
-7.500000e+02 , 1.400000e+03 , 7.500000e+02 , -1.647918e-09 , -1.034264e-09 , -2.611309e-09 , -1.831133e-10 , -2.167614e-09 , 2.517386e-10 , 9.889806e-09 , -4.078090e-09 , -1.499544e-08 , 3.809779e-09 , 2.094421e-08 , -1.349639e-08
-7.500000e+02 , 1.400000e+03 , 8.500000e+02 , -1.672084e-09 , -4.276926e-10 , -2.039155e-09 , 2.177564e-10 , -2.109578e-09 , 2.821192e-10 , 1.178259e-08 , -4.755609e-09 , -1.515477e-08 , 3.897004e-09 , 1.350882e-08 , -1.333174e-08
-7.500000e+02 , 1.400000e+03 , 9.500000e+02 , -1.606208e-09 , 9.672389e-11 , -1.666795e-09 , 6.079131e-10 , -3.775227e-11 , 7.148631e-12 , 4.655904e-09 , -2.757175e-09 , -7.145691e-09 , 3.804651e-09 , 7.357808e-09 , -1.306121e-08
