%% x, y, z, Ex.real, Ex.imag, Ey.real, Ey.imag, Ez.real, Ez.imag, Hx.real, Hx.imag, Hy.real, Hy.imag, Hz.real, Hz.imag 
-2.500000e+02 , 4.000000e+02 , 9.500000e+02 , -2.383463e-09 , -2.234265e-10 , -2.605137e-09 , -7.110936e-10 , -8.291019e-11 , 1.277983e-11 , 1.773202e-08 , -6.689674e-09 , -1.317274e-08 , 5.399220e-09 , -3.934633e-09 , 5.375479e-09
-2.500000e+02 , 4.000000e+02 , 1.050000e+03 , -2.158737e-09 , -5.520284e-11 , -2.314012e-09 , -4.110749e-10 , -1.331110e-09 , 3.651225e-10 , 3.807424e-09 , -7.951980e-09 , -1.330655e-09 , 5.306354e-09 , -2.769972e-09 , 4.425448e-09
2.500000e+02 , 4.000000e+02 , 5.000000e+01 , -1.462718e-07 , -9.056341e-09 , 1.329085e-08 , 1.038695e-09 , 2.946644e-07 , -1.019162e-09 , -1.893576e-07 , 7.523520e-09 , -2.558538e-07 , 9.525133e-10 , -1.324358e-07 , 1.982447e-08
2.500000e+02 , 4.000000e+02 , 1.500000e+02 , -1.756283e-07 , 8.267271e-10 , 8.871511e-08 , -6.153953e-09 , 2.847685e-08 , -4.733460e-10 , -1.357852e-07 , 5.650474e-09 , -1.996051e-07 , 4.391876e-09 , -1.216030e-07 , 2.313290e-08
2.500000e+02 , 4.000000e+02 , 2.500000e+02 , -1.785345e-07 , 5.939458e-09 , 9.776987e-08 , -9.751821e-09 , 9.897594e-09 , -2.414028e-10 , -3.571497e-08 , -2.142518e-09 , -5.556224e-08 , 3.195950e-09 , -1.049640e-07 , 2.294918e-08
2.500000e+02 , 4.000000e+02 , 3.500000e+02 , -1.731039e-07 , 5.676280e-09 , 9.876147e-08 , -9.543841e-09 , -1.894036e-08 , 2.611614e-09 , 1.893328e-08 , -6.645808e-09 , 1.184474e-08 , 2.024392e-09 , -8.634061e-08 , 1.987811e-08
2.500000e+02 , 4.000000e+02 , 4.500000e+02 , -1.620317e-07 , 4.918481e-09 , 9.481704e-08 , -8.456352e-09 , -3.278989e-08 , 2.955875e-09 , 2.384055e-08 , -6.172996e-09 , 2.179381e-10 , 3.066969e-09 , -6.815066e-08 , 1.709474e-08
2.500000e+02 , 4.000000e+02 , 5.500000e+02 , -1.179727e-07 , 3.047451e-09 , 6.832019e-08 , -6.507559e-09 , -3.843990e-07 , 3.060122e-08 , 2.595648e-08 , -5.484025e-09 , -8.012574e-09 , 3.634481e-09 , -5.192704e-08 , 1.508463e-08
2.500000e+02 , 4.000000e+02 , 6.500000e+02 , -4.141090e-08 , 1.983585e-12 , 2.123024e-08 , -3.862220e-09 , -3.877135e-07 , 3.066793e-08 , 2.588519e-08 , -4.641897e-09 , -1.461858e-08 , 3.949980e-09 , -3.814081e-08 , 1.385898e-08
2.500000e+02 , 4.000000e+02 , 7.500000e+02 , -3.476219e-09 , -1.076846e-09 , -1.983810e-09 , -2.057597e-09 , -3.326788e-09 , 3.078962e-10 , 2.507830e-08 , -4.203334e-09 , -1.808783e-08 , 4.343825e-09 , -2.662908e-08 , 1.333275e-08
2.500000e+02 , 4.000000e+02 , 8.500000e+02 , -2.713157e-09 , -3.717570e-10 , -2.170481e-09 , -1.073161e-09 , -3.183872e-09 , 3.521852e-10 , 2.387019e-08 , -3.914040e-09 , -1.946186e-08 , 4.739732e-09 , -1.706560e-08 , 1.322789e-08
2.500000e+02 , 4.000000e+02 , 9.500000e+02 , -2.244907e-09 , 2.784746e-10 , -2.170659e-09 , -2.485860e-10 , -5.672854e-11 , 9.297372e-12 , 1.211319e-08 , -5.225799e-09 , -9.021881e-09 , 4.163694e-09 , -9.576517e-09 , 1.308443e-08
2.500000e+02 , 4.000000e+02 , 1.050000e+03 , -2.078845e-09 , 3.176319e-10 , -1.966420e-09 , -8.802592e-11 , -1.063562e-09 , 3.131495e-10 , 1.329079e-09 , -5.291506e-09 , 1.147644e-09 , 2.635698e-09 , -6.748935e-09 , 1.077178e-08
7.500000e+02 , 4.000000e+02 , 5.000000e+01 , -5.568980e-08 , -5.261590e-09 , -3.579566e-08 , 2.987858e-09 , 8.805137e-08 , -3.121077e-10 , 5.343736e-09 , -1.920454e-09 , -1.226035e-07 , 3.542802e-10 , -6.005163e-08 , 1.624392e-08
7.500000e+02 , 4.000000e+02 , 1.500000e+02 , -6.804454e-08 , -6.204898e-10 , -2.569776e-08 , 3.178947e-09 , 8.159331e-09 , -1.378585e-10 , 1.854435e-09 , -1.614445e-09 , -9.363315e-08 , 2.328164e-09 , -5.653714e-08 , 1.815275e-08
7.500000e+02 , 4.000000e+02 , 2.500000e+02 , -6.943994e-08 , 1.913608e-09 , -2.439024e-08 , 2.929346e-09 , 2.908481e-09 , -6.334244e-11 , -1.265886e-08 , -1.132424e-10 , -3.243481e-08 , 2.498420e-09 , -5.158343e-08 , 1.830487e-08
7.500000e+02 , 4.000000e+02 , 3.500000e+02 , -6.960367e-08 , 2.247246e-09 , -2.230792e-08 , 2.160842e-09 , -5.989972e-11 , 1.243008e-09 , -1.615321e-08 , -1.105295e-10 , -3.118472e-09 , 2.283253e-09 , -4.573032e-08 , 1.689289e-08
7.500000e+02 , 4.000000e+02 , 4.500000e+02 , -6.827516e-08 , 2.300267e-09 , -1.965040e-08 , 1.542919e-09 , -6.632550e-09 , 1.484721e-09 , -9.406700e-09 , -1.183067e-09 , -6.274607e-09 , 2.880653e-09 , -3.905861e-08 , 1.548342e-08
