%% x, y, z, Ex.real, Ex.imag, Ey.real, Ey.imag, Ez.real, Ez.imag, Hx.real, Hx.imag, Hy.real, Hy.imag, Hz.real, Hz.imag 
-7.500000e+02 , 1.600000e+03 , 5.000000e+01 , -1.212832e-08 , 2.010585e-09 , -7.032397e-08 , -2.872991e-09 , 8.753054e-08 , -3.015166e-10 , 1.280706e-07 , -2.347573e-09 , 3.169984e-08 , -2.129763e-10 , 5.980411e-08 , -1.628157e-08
-7.500000e+02 , 1.600000e+03 , 1.500000e+02 , 2.670360e-10 , 8.376994e-10 , -7.992561e-08 , 1.944087e-09 , 8.054034e-09 , -1.312192e-10 , 9.540402e-08 , -3.447354e-09 , 2.386129e-08 , 3.870030e-11 , 5.629042e-08 , -1.818683e-08
-7.500000e+02 , 1.600000e+03 , 2.500000e+02 , 1.815303e-09 , 2.491783e-11 , -8.095871e-08 , 4.362871e-09 , 2.738251e-09 , -5.101151e-11 , 2.537902e-08 , -1.659816e-09 , 1.510812e-08 , 6.425348e-10 , 5.135525e-08 , -1.834297e-08
-7.500000e+02 , 1.600000e+03 , 3.500000e+02 , 3.507975e-09 , -4.709426e-10 , -8.034636e-08 , 4.264167e-09 , -6.177182e-09 , 1.628817e-09 , -7.382461e-09 , -7.604770e-10 , 7.554270e-09 , 1.579383e-09 , 4.553582e-08 , -1.694239e-08
-7.500000e+02 , 1.600000e+03 , 4.500000e+02 , 5.130014e-09 , -7.180648e-10 , -7.791580e-08 , 3.895528e-09 , -1.251751e-08 , 1.850207e-09 , -2.481188e-09 , -1.755221e-09 , 2.088264e-09 , 2.258699e-09 , 3.890317e-08 , -1.554387e-08
-7.500000e+02 , 1.600000e+03 , 5.500000e+02 , 3.994512e-09 , -7.036760e-10 , -5.807061e-08 , 2.710215e-09 , -1.600882e-07 , 1.968021e-08 , 2.028572e-09 , -2.587821e-09 , -2.158991e-09 , 2.769099e-09 , 3.188572e-08 , -1.444141e-08
-7.500000e+02 , 1.600000e+03 , 6.500000e+02 , 5.258637e-10 , -4.913467e-10 , -2.116351e-08 , 7.275718e-10 , -1.633777e-07 , 1.980802e-08 , 6.329446e-09 , -3.338445e-09 , -5.288448e-09 , 3.167931e-09 , 2.483500e-08 , -1.369759e-08
-7.500000e+02 , 1.600000e+03 , 7.500000e+02 , -1.381940e-09 , -1.981830e-10 , -2.324419e-09 , -5.223535e-11 , -1.431553e-09 , 1.920179e-10 , 9.089211e-09 , -4.060737e-09 , -7.293889e-09 , 3.576551e-09 , 1.797434e-08 , -1.329913e-08
-7.500000e+02 , 1.600000e+03 , 8.500000e+02 , -1.275741e-09 , 1.153069e-10 , -1.834713e-09 , 3.124093e-10 , -1.403861e-09 , 2.123203e-10 , 1.057388e-08 , -4.722790e-09 , -8.385831e-09 , 3.964202e-09 , 1.151041e-08 , -1.307652e-08
-7.500000e+02 , 1.600000e+03 , 9.500000e+02 , -1.151493e-09 , 4.041885e-10 , -1.505605e-09 , 6.603139e-10 , -2.518668e-11 , 5.221064e-12 , 4.019799e-09 , -2.424601e-09 , -3.288752e-09 , 2.578267e-09 , 6.050755e-09 , -1.272987e-08
-7.500000e+02 , 1.600000e+03 , 1.050000e+03 , -1.106020e-09 , 3.800529e-10 , -1.457065e-09 , 6.106694e-10 , -7.638170e-10 , 2.639448e-10 , -2.477519e-09 , 2.868909e-10 , 1.683332e-09 , 8.455449e-10 , 4.499340e-09 , -1.091133e-08
-2.500000e+02 , 1.600000e+03 , 5.000000e+01 , -1.395270e-07 , -9.410600e-10 , -6.023369e-09 , -1.863312e-08 , 3.103102e-07 , -1.320782e-09 , 2.161672e-07 , 6.061838e-09 , -8.836507e-08 , 3.353868e-10 , 1.328178e-07 , -1.985984e-08
-2.500000e+02 , 1.600000e+03 , 1.500000e+02 , -1.021879e-07 , 2.334677e-09 , -9.038100e-08 , -9.836998e-09 , 3.217048e-08 , -6.535630e-10 , 1.787904e-07 , -3.210909e-10 , -6.978621e-08 , 1.934107e-09 , 1.218543e-07 , -2.317022e-08
-2.500000e+02 , 1.600000e+03 , 2.500000e+02 , -9.626561e-08 , 3.626807e-09 , -1.023507e-07 , -4.193895e-09 , 1.311196e-08 , -4.275732e-10 , 8.779463e-08 , -6.532936e-09 , -4.508989e-09 , 1.410072e-09 , 1.050714e-07 , -2.298428e-08
-2.500000e+02 , 1.600000e+03 , 3.500000e+02 , -8.652085e-08 , 2.519917e-09 , -1.113350e-07 , -1.968621e-09 , 3.363944e-08 , 9.864759e-11 , 3.813605e-08 , -7.667986e-09 , 1.983445e-08 , 1.637005e-09 , 8.634674e-08 , -1.991310e-08
-2.500000e+02 , 1.600000e+03 , 4.500000e+02 , -7.464369e-08 , 1.583436e-09 , -1.167533e-07 , -4.635922e-10 , 5.721695e-09 , 1.094793e-09 , 3.627505e-08 , -6.941807e-09 , 5.327788e-09 , 2.780203e-09 , 6.809791e-08 , -1.713231e-08
-2.500000e+02 , 1.600000e+03 , 5.500000e+02 , -5.272597e-08 , 5.830970e-10 , -8.951193e-08 , -6.153113e-10 , -9.635179e-08 , 1.630730e-08 , 3.474809e-08 , -6.110373e-09 , -4.445791e-09 , 3.398324e-09 , 5.185466e-08 , -1.512612e-08
-2.500000e+02 , 1.600000e+03 , 6.500000e+02 , -1.881848e-08 , -6.894042e-10 , -3.340044e-08 , -2.238436e-09 , -1.104784e-07 , 1.680287e-08 , 3.434326e-08 , -5.252829e-09 , -1.120739e-08 , 3.709766e-09 , 3.806988e-08 , -1.390416e-08
-2.500000e+02 , 1.600000e+03 , 7.500000e+02 , -2.635024e-09 , -9.336322e-10 , -4.028183e-09 , -2.437068e-09 , -1.046999e-09 , 1.647235e-10 , 3.308138e-08 , -4.892327e-09 , -1.486901e-08 , 4.062890e-09 , 2.656776e-08 , -1.338035e-08
-2.500000e+02 , 1.600000e+03 , 8.500000e+02 , -2.235404e-09 , -3.273330e-10 , -3.337292e-09 , -1.204924e-09 , -1.095448e-09 , 1.837163e-10 , 3.129454e-08 , -4.692119e-09 , -1.648260e-08 , 4.414152e-09 , 1.701669e-08 , -1.327632e-08
-2.500000e+02 , 1.600000e+03 , 9.500000e+02 , -1.951892e-09 , 2.353181e-10 , -2.891474e-09 , -1.605523e-10 , -1.995418e-11 , 4.443566e-12 , 1.569603e-08 , -5.830046e-09 , -7.594783e-09 , 3.962333e-09 , 9.540064e-09 , -1.313423e-08
-2.500000e+02 , 1.600000e+03 , 1.050000e+03 , -1.813214e-09 , 2.654478e-10 , -2.617880e-09 , 2.629222e-11 , -6.879151e-10 , 2.430460e-10 , 1.352624e-09 , -5.313550e-09 , 1.116392e-09 , 2.669614e-09 , 6.737110e-09 , -1.083108e-08
2.500000e+02 , 1.600000e+03 , 5.000000e+01 , 8.653255e-10 , -1.295020e-08 , 1.424273e-07 , -2.248557e-08 , 3.215683e-07 , -1.547610e-09 , 5.632190e-08 , 1.356341e-08 , -9.691901e-08 , -6.568883e-09 , 5.468973e-08 , -8.177612e-09
2.500000e+02 , 1.600000e+03 , 1.500000e+02 , -3.715675e-08 , -8.848246e-09 , 4.901170e-08 , -1.949807e-08 , 3.491831e-08 , -7.862126e-10 , 6.480969e-08 , 5.565487e-09 , -8.639599e-08 , -1.484388e-09 , 5.017533e-08 , -9.540701e-09
2.500000e+02 , 1.600000e+03 , 2.500000e+02 , -4.308134e-08 , -5.908094e-09 , 3.387055e-08 , -1.604078e-08 , 1.548967e-08 , -5.637893e-10 , 8.388231e-08 , -8.573385e-09 , -5.185724e-08 , 5.254851e-09 , 4.326477e-08 , -9.464132e-09
2.500000e+02 , 1.600000e+03 , 3.500000e+02 , -4.930145e-08 , -4.252642e-09 , 1.301345e-08 , -1.188901e-08 , 7.153123e-08 , -1.705829e-09 , 8.291785e-08 , -1.302525e-08 , -3.291413e-08 , 7.397208e-09 , 3.555461e-08 , -8.199523e-09
2.500000e+02 , 1.600000e+03 , 4.500000e+02 , -5.445470e-08 , -2.850920e-09 , -8.858842e-09 , -8.218055e-09 , 3.335220e-08 , -2.366696e-10 , 6.937362e-08 , -1.059244e-08 , -3.292484e-08 , 6.729674e-09 , 2.804039e-08 , -7.054485e-09
