%% x, y, z, Ex.real, Ex.imag, Ey.real, Ey.imag, Ez.real, Ez.imag, Hx.real, Hx.imag, Hy.real, Hy.imag, Hz.real, Hz.imag 
-2.500000e+02 , 4.000000e+02 , 9.500000e+02 , -2.388007e-09 , -2.291133e-10 , -2.612044e-09 , -7.146746e-10 , -8.294583e-11 , 1.293565e-11 , 1.773303e-08 , -6.719674e-09 , -1.320557e-08 , 5.427821e-09 , -3.926443e-09 , 5.406209e-09
-2.500000e+02 , 4.000000e+02 , 1.050000e+03 , -2.162703e-09 , -5.940426e-11 , -2.320334e-09 , -4.149618e-10 , -1.328112e-09 , 3.646716e-10 , 3.792509e-09 , -7.961148e-09 , -1.350662e-09 , 5.327968e-09 , -2.772183e-09 , 4.458075e-09
2.500000e+02 , 4.000000e+02 , 5.000000e+01 , -1.476799e-07 , -9.097517e-09 , 1.346180e-08 , 9.527396e-10 , 2.944889e-07 , -1.001157e-09 , -1.880848e-07 , 7.534800e-09 , -2.567980e-07 , 9.368984e-10 , -1.328415e-07 , 1.985927e-08
2.500000e+02 , 4.000000e+02 , 1.500000e+02 , -1.765578e-07 , 8.089244e-10 , 8.812419e-08 , -6.177431e-09 , 2.830216e-08 , -4.670058e-10 , -1.346916e-07 , 5.644837e-09 , -2.003971e-07 , 4.404915e-09 , -1.218770e-07 , 2.317012e-08
2.500000e+02 , 4.000000e+02 , 2.500000e+02 , -1.792925e-07 , 5.934864e-09 , 9.695416e-08 , -9.737217e-09 , 9.771968e-09 , -2.365699e-10 , -3.527418e-08 , -2.152352e-09 , -5.577659e-08 , 3.218462e-09 , -1.050899e-07 , 2.298398e-08
2.500000e+02 , 4.000000e+02 , 3.500000e+02 , -1.736240e-07 , 5.664063e-09 , 9.778425e-08 , -9.519421e-09 , -1.943243e-08 , 2.626483e-09 , 1.898172e-08 , -6.649547e-09 , 1.186670e-08 , 2.042229e-09 , -8.635972e-08 , 1.991207e-08
2.500000e+02 , 4.000000e+02 , 4.500000e+02 , -1.623119e-07 , 4.899748e-09 , 9.374990e-08 , -8.429425e-09 , -3.296687e-08 , 2.959928e-09 , 2.387250e-08 , -6.173508e-09 , 1.743903e-10 , 3.081376e-09 , -6.810562e-08 , 1.713058e-08
2.500000e+02 , 4.000000e+02 , 5.500000e+02 , -1.181236e-07 , 3.028387e-09 , 6.751858e-08 , -6.489141e-09 , -3.844897e-07 , 3.058876e-08 , 2.597889e-08 , -5.481018e-09 , -8.083247e-09 , 3.641690e-09 , -5.185806e-08 , 1.512377e-08
2.500000e+02 , 4.000000e+02 , 6.500000e+02 , -4.145036e-08 , -1.595780e-11 , 2.095518e-08 , -3.859837e-09 , -3.876843e-07 , 3.065215e-08 , 2.591371e-08 , -4.635727e-09 , -1.470394e-08 , 3.948434e-09 , -3.807023e-08 , 1.390124e-08
2.500000e+02 , 4.000000e+02 , 7.500000e+02 , -3.480560e-09 , -1.091200e-09 , -1.993878e-09 , -2.062356e-09 , -3.326210e-09 , 3.078283e-10 , 2.511053e-08 , -4.195539e-09 , -1.817501e-08 , 4.335169e-09 , -2.656630e-08 , 1.337686e-08
2.500000e+02 , 4.000000e+02 , 8.500000e+02 , -2.717597e-09 , -3.825972e-10 , -2.176984e-09 , -1.076773e-09 , -3.183298e-09 , 3.521221e-10 , 2.390539e-08 , -3.904891e-09 , -1.954823e-08 , 4.724914e-09 , -1.701450e-08 , 1.327226e-08
2.500000e+02 , 4.000000e+02 , 9.500000e+02 , -2.249487e-09 , 2.715980e-10 , -2.175656e-09 , -2.510798e-10 , -5.669936e-11 , 9.397611e-12 , 1.211797e-08 , -5.249589e-09 , -9.077472e-09 , 4.194412e-09 , -9.537765e-09 , 1.312974e-08
