lon,lat,grav,elev
102.4667392,24.32383875,978499.207,1637.89
102.4667392,24.32950833,978499.849,1630.086
102.4667392,24.33517792,978508.44,1614.587
102.4667392,24.3408475,978508.44,1614.587
102.4667392,24.34651708,978508.44,1614.587
102.4667392,24.35218667,978508.44,1614.587
102.4667392,24.35785625,978508.282,1612.84
102.4667392,24.36352583,978508.03,1611.801
102.4667392,24.36919542,978508.578,1610.699
102.4667392,24.374865,978509.231,1610.608
102.4667392,24.38053458,978480.597,1750.127
102.4667392,24.38620417,978478.933,1758.952
102.4667392,24.39187375,978474.852,1780.894
102.4667392,24.39754333,978472.25,1802.214
102.4667392,24.40321292,978472.25,1802.214
102.4667392,24.4088825,978473.44,1802.262
102.4667392,24.41455208,978470.731,1801.444
102.4667392,24.42022167,978470.731,1801.444
102.4667392,24.42589125,978418.218,2069.451
102.4667392,24.43156083,978418.218,2069.451
102.4667392,24.43723042,978418.218,2069.451
102.4667392,24.4429,978418.218,2069.451
102.472525,24.30683,978496.567,1666.894
102.472525,24.31249958,978496.567,1666.894
102.472525,24.31816917,978499.357,1640.612
102.472525,24.32383875,978499.207,1637.89
102.472525,24.32950833,978499.976,1628.138
102.472525,24.33517792,978498.887,1625.199
102.472525,24.3408475,978506.432,1621.529
102.472525,24.34651708,978508.447,1614.817
102.472525,24.35218667,978507.689,1616.259
102.472525,24.35785625,978507.689,1616.259
102.472525,24.36352583,978507.689,1616.259
102.472525,24.36919542,978482.407,1719.842
102.472525,24.374865,978480.492,1750.205
102.472525,24.38053458,978480.492,1750.205
102.472525,24.38620417,978478.933,1758.952
102.472525,24.39187375,978474.852,1780.894
102.472525,24.39754333,978475.835,1776.987
102.472525,24.40321292,978475.835,1776.987
102.472525,24.4088825,978473.44,1802.262
102.472525,24.41455208,978473.44,1802.262
102.472525,24.42022167,978418.218,2069.451
102.472525,24.42589125,978418.218,2069.451
102.472525,24.43156083,978418.218,2069.451
102.472525,24.43723042,978418.218,2069.451
102.472525,24.4429,978418.218,2069.451
102.4783108,24.30683,978496.567,1666.894
102.4783108,24.31249958,978499.024,1650.817
102.4783108,24.31816917,978499.357,1640.612
102.4783108,24.32383875,978499.849,1630.086
102.4783108,24.32950833,978498.887,1625.199
102.4783108,24.33517792,978498.717,1620.325
102.4783108,24.3408475,978503.768,1618.484
102.4783108,24.34651708,978506.432,1621.529
102.4783108,24.35218667,978506.432,1621.529
102.4783108,24.35785625,978506.209,1620.523
102.4783108,24.36352583,978497.344,1662.346
102.4783108,24.36919542,978482.407,1719.842
102.4783108,24.374865,978482.407,1719.842
102.4783108,24.38053458,978479.344,1752.815
102.4783108,24.38620417,978480.492,1750.205
102.4783108,24.39187375,978473.763,1787.726
102.4783108,24.39754333,978465.82,1822.755
102.4783108,24.40321292,978470.253,1803.775
102.4783108,24.4088825,978470.253,1803.775
102.4783108,24.41455208,978470.253,1803.775
102.4783108,24.42022167,978418.08,2067.1
102.4783108,24.42589125,978418.218,2069.451
102.4783108,24.43156083,978418.218,2069.451
102.4783108,24.43723042,978418.218,2069.451
102.4783108,24.4429,978418.218,2069.451
102.4840967,24.30683,978498.33,1657.468
102.4840967,24.31249958,978499.336,1644.594
102.4840967,24.31816917,978499.207,1637.89
102.4840967,24.32383875,978499.976,1628.138
102.4840967,24.32950833,978498.887,1625.199
102.4840967,24.33517792,978498.717,1620.325
102.4840967,24.3408475,978500.954,1617.423
102.4840967,24.34651708,978502.074,1618.124
102.4840967,24.35218667,978506.226,1616.871
102.4840967,24.35785625,978491.841,1674.787
102.4840967,24.36352583,978497.344,1662.346
102.4840967,24.36919542,978482.407,1719.842
102.4840967,24.374865,978482.407,1719.842
102.4840967,24.38053458,978480.852,1743.742
102.4840967,24.38620417,978478.47,1753.726
102.4840967,24.39187375,978476.114,1769.047
102.4840967,24.39754333,978467.963,1809.833
102.4840967,24.40321292,978465.013,1823.599
102.4840967,24.4088825,978470.253,1803.775
102.4840967,24.41455208,978414.533,2081.817
102.4840967,24.42022167,978414.533,2081.817
102.4840967,24.42589125,978414.533,2081.817
102.4840967,24.43156083,978416.543,2074.524
102.4840967,24.43723042,978401.289,2144.911
102.4840967,24.4429,978401.289,2144.911
102.4898825,24.30683,978499.024,1650.817
102.4898825,24.31249958,978499.336,1644.594
102.4898825,24.31816917,978499.849,1630.086
102.4898825,24.32383875,978499.396,1625.84
102.4898825,24.32950833,978498.848,1621.583
102.4898825,24.33517792,978498.717,1620.325
102.4898825,24.3408475,978498.274,1618.743
102.4898825,24.34651708,978499.06,1618.167
102.4898825,24.35218667,978498.064,1629.874
102.4898825,24.35785625,978496.843,1637.275
102.4898825,24.36352583,978485.196,1685.036
102.4898825,24.36919542,978484.341,1694.535
102.4898825,24.374865,978484.72,1706.503
102.4898825,24.38053458,978483.465,1716.559
102.4898825,24.38620417,978485.912,1711.211
102.4898825,24.39187375,978477.912,1755.383
102.4898825,24.39754333,978469.761,1776.881
102.4898825,24.40321292,978467.963,1809.833
102.4898825,24.4088825,978483.394,1720.567
102.4898825,24.41455208,978440.735,1945.557
102.4898825,24.42022167,978410.926,2095.781
102.4898825,24.42589125,978408.472,2108.019
102.4898825,24.43156083,978401.289,2144.911
102.4898825,24.43723042,978401.289,2144.911
102.4898825,24.4429,978401.289,2144.911
102.4956683,24.30683,978499.024,1650.817
102.4956683,24.31249958,978499.357,1640.612
102.4956683,24.31816917,978499.976,1628.138
102.4956683,24.32383875,978498.887,1625.199
102.4956683,24.32950833,978498.406,1621.662
102.4956683,24.33517792,978496.925,1619.555
102.4956683,24.3408475,978496.617,1619.56
102.4956683,24.34651708,978497.502,1619.948
102.4956683,24.35218667,978496.717,1617.918
102.4956683,24.35785625,978494.82,1618.484
102.4956683,24.36352583,978492.026,1634.516
102.4956683,24.36919542,978487.415,1666.316
102.4956683,24.374865,978487.997,1676.763
102.4956683,24.38053458,978492.304,1666.67
102.4956683,24.38620417,978490.994,1680.088
102.4956683,24.39187375,978486.669,1706.07
102.4956683,24.39754333,978486.669,1706.07
102.4956683,24.40321292,978483.394,1720.567
102.4956683,24.4088825,978483.394,1720.567
102.4956683,24.41455208,978443.61,1926.843
102.4956683,24.42022167,978440.735,1945.557
102.4956683,24.42589125,978429.61,2002.729
102.4956683,24.43156083,978411.081,2096.462
102.4956683,24.43723042,978411.081,2096.462
102.4956683,24.4429,978411.081,2096.462
102.5014542,24.30683,978499.024,1650.817
102.5014542,24.31249958,978499.849,1630.086
102.5014542,24.31816917,978499.396,1625.84
102.5014542,24.32383875,978498.848,1621.583
102.5014542,24.32950833,978496.507,1618.959
102.5014542,24.33517792,978496.079,1622.581
102.5014542,24.3408475,978496.141,1617.546
102.5014542,24.34651708,978495.419,1620.505
102.5014542,24.35218667,978494.846,1618.664
102.5014542,24.35785625,978493.914,1619.366
102.5014542,24.36352583,978493.052,1624.313
102.5014542,24.36919542,978488.77,1637.035
102.5014542,24.374865,978486.688,1661.984
102.5014542,24.38053458,978487.807,1648.647
102.5014542,24.38620417,978486.744,1670.708
102.5014542,24.39187375,978488.75,1682.458
102.5014542,24.39754333,978492.445,1650.425
102.5014542,24.40321292,978489.804,1686.248
102.5014542,24.4088825,978490.883,1675.694
102.5014542,24.41455208,978486.942,1698.948
102.5014542,24.42022167,978447.653,1904.199
102.5014542,24.42589125,978429.61,2002.729
102.5014542,24.43156083,978417.16,2062.109
102.5014542,24.43723042,978411.081,2096.462
102.5014542,24.4429,978411.081,2096.462
102.50724,24.30683,978500.027,1634.697
102.50724,24.31249958,978500.027,1634.697
102.50724,24.31816917,978500.027,1634.697
102.50724,24.32383875,978496.763,1622.259
102.50724,24.32950833,978496.392,1622.11
102.50724,24.33517792,978496.587,1619.676
102.50724,24.3408475,978496.229,1619.101
102.50724,24.34651708,978496.277,1619.079
102.50724,24.35218667,978495.176,1619.963
102.50724,24.35785625,978494.107,1618.947
