x,y,z,data
   50.0000000     ,   50.0000000     ,   54.9375000     ,   1.76440347E-02
   150.000000     ,   50.0000000     ,   54.9375000     ,   0.00000000    
   250.000000     ,   50.0000000     ,   54.9375000     ,   0.00000000    
   350.000000     ,   50.0000000     ,   54.9375000     ,   0.00000000    
   450.000000     ,   50.0000000     ,   54.9375000     ,   0.00000000    
   550.000000     ,   50.0000000     ,   54.9375000     ,   4.71318103E-02
   650.000000     ,   50.0000000     ,   54.9375000     ,   2.18894172    
   750.000000     ,   50.0000000     ,   54.9375000     ,  0.660270095    
   850.000000     ,   50.0000000     ,   54.9375000     ,   6.31098077E-02
   950.000000     ,   50.0000000     ,   54.9375000     ,  0.160839662    
   1050.00000     ,   50.0000000     ,   54.9375000     ,  0.176135585    
   1150.00000     ,   50.0000000     ,   54.9375000     ,  0.131687269    
   1250.00000     ,   50.0000000     ,   54.9375000     ,   6.07648604E-02
   1350.00000     ,   50.0000000     ,   54.9375000     ,  0.204334795    
   1450.00000     ,   50.0000000     ,   54.9375000     ,  0.110471167    
   1550.00000     ,   50.0000000     ,   54.9375000     ,  0.129420668    
   1650.00000     ,   50.0000000     ,   54.9375000     ,  0.106836177    
   1750.00000     ,   50.0000000     ,   54.9375000     ,  0.134581149    
   1850.00000     ,   50.0000000     ,   54.9375000     ,   9.73255262E-02
   1950.00000     ,   50.0000000     ,   54.9375000     ,  0.126269341    
   2050.00000     ,   50.0000000     ,   54.9375000     ,  0.118658848    
   2150.00000     ,   50.0000000     ,   54.9375000     ,   7.58318901E-02
   2250.00000     ,   50.0000000     ,   54.9375000     ,  0.202041686    
   2350.00000     ,   50.0000000     ,   54.9375000     ,   8.98361877E-02
   2450.00000     ,   50.0000000     ,   54.9375000     ,  0.109267034    
   2550.00000     ,   50.0000000     ,   54.9375000     ,   5.00535369E-02
   2650.00000     ,   50.0000000     ,   54.9375000     ,   9.26256627E-02
   2750.00000     ,   50.0000000     ,   54.9375000     ,   8.79478604E-02
   2850.00000     ,   50.0000000     ,   54.9375000     ,  0.148865074    
   2950.00000     ,   50.0000000     ,   54.9375000     ,   3.47280167E-02
   3050.00000     ,   50.0000000     ,   54.9375000     ,   4.16033193E-02
   3150.00000     ,   50.0000000     ,   54.9375000     ,   5.45747429E-02
   3250.00000     ,   50.0000000     ,   54.9375000     ,   6.23472556E-02
   3350.00000     ,   50.0000000     ,   54.9375000     ,  0.102533527    
   3450.00000     ,   50.0000000     ,   54.9375000     ,   2.19971053E-02
   3550.00000     ,   50.0000000     ,   54.9375000     ,   8.25494155E-02
   3650.00000     ,   50.0000000     ,   54.9375000     ,   7.32483938E-02
   3750.00000     ,   50.0000000     ,   54.9375000     ,   4.34852801E-02
   3850.00000     ,   50.0000000     ,   54.9375000     ,   2.17788778E-02
   3950.00000     ,   50.0000000     ,   54.9375000     ,   9.05257091E-02
   4050.00000     ,   50.0000000     ,   54.9375000     ,   3.51529717E-02
   4150.00000     ,   50.0000000     ,   54.9375000     ,   6.25245497E-02
   4250.00000     ,   50.0000000     ,   54.9375000     ,   8.39355737E-02
   4350.00000     ,   50.0000000     ,   54.9375000     ,   9.12307352E-02
   4450.00000     ,   50.0000000     ,   54.9375000     ,   3.57737616E-02
   4550.00000     ,   50.0000000     ,   54.9375000     ,   4.51096781E-02
   4650.00000     ,   50.0000000     ,   54.9375000     ,   6.62425682E-02
   4750.00000     ,   50.0000000     ,   54.9375000     ,   2.81735994E-02
   4850.00000     ,   50.0000000     ,   54.9375000     ,   5.79985008E-02
   4950.00000     ,   50.0000000     ,   54.9375000     ,   8.94232914E-02
   5050.00000     ,   50.0000000     ,   54.9375000     ,   5.41419163E-02
   5150.00000     ,   50.0000000     ,   54.9375000     ,  0.124324173    
   5250.00000     ,   50.0000000     ,   54.9375000     ,   2.57479772E-02
   5350.00000     ,   50.0000000     ,   54.9375000     ,   3.16147357E-02
   5450.00000     ,   50.0000000     ,   54.9375000     ,  0.115386315    
   5550.00000     ,   50.0000000     ,   54.9375000     ,   0.00000000    
   5650.00000     ,   50.0000000     ,   54.9375000     ,  0.146621823    
   5750.00000     ,   50.0000000     ,   54.9375000     ,   3.10235322E-02
   5850.00000     ,   50.0000000     ,   54.9375000     ,   3.50566469E-02
   5950.00000     ,   50.0000000     ,   54.9375000     ,  0.107240565    
   50.0000000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   150.000000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   250.000000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   350.000000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   450.000000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   550.000000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   650.000000     ,   150.000000     ,   54.9375000     ,   2.49620771    
   750.000000     ,   150.000000     ,   54.9375000     ,  0.302463561    
   850.000000     ,   150.000000     ,   54.9375000     ,   2.74414085E-02
   950.000000     ,   150.000000     ,   54.9375000     ,  0.186446279    
   1050.00000     ,   150.000000     ,   54.9375000     ,   1.54885640E-02
   1150.00000     ,   150.000000     ,   54.9375000     ,   1.43454224E-02
   1250.00000     ,   150.000000     ,   54.9375000     ,   1.95951872E-02
   1350.00000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   1450.00000     ,   150.000000     ,   54.9375000     ,   1.77826565E-02
   1550.00000     ,   150.000000     ,   54.9375000     ,   6.66646138E-02
   1650.00000     ,   150.000000     ,   54.9375000     ,   7.94653967E-03
   1750.00000     ,   150.000000     ,   54.9375000     ,   6.13700040E-02
   1850.00000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   1950.00000     ,   150.000000     ,   54.9375000     ,   2.83432975E-02
   2050.00000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   2150.00000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   2250.00000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   2350.00000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   2450.00000     ,   150.000000     ,   54.9375000     ,   6.18954748E-02
   2550.00000     ,   150.000000     ,   54.9375000     ,   4.05460633E-02
   2650.00000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   2750.00000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   2850.00000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   2950.00000     ,   150.000000     ,   54.9375000     ,   5.78387780E-03
   3050.00000     ,   150.000000     ,   54.9375000     ,   7.44163394E-02
   3150.00000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   3250.00000     ,   150.000000     ,   54.9375000     ,   1.40313450E-02
   3350.00000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   3450.00000     ,   150.000000     ,   54.9375000     ,   2.12725578E-03
   3550.00000     ,   150.000000     ,   54.9375000     ,   1.76896210E-04
   3650.00000     ,   150.000000     ,   54.9375000     ,   4.45600264E-02
   3750.00000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   3850.00000     ,   150.000000     ,   54.9375000     ,   6.66422024E-02
   3950.00000     ,   150.000000     ,   54.9375000     ,   8.83851293E-03
   4050.00000     ,   150.000000     ,   54.9375000     ,   2.48687752E-02
   4150.00000     ,   150.000000     ,   54.9375000     ,   4.27909233E-02
   4250.00000     ,   150.000000     ,   54.9375000     ,   0.00000000    
