x,y,z,data
   50.0000000     ,   50.0000000     ,   54.9375000     ,   7.23254383E-02
   150.000000     ,   50.0000000     ,   54.9375000     ,   5.91499992E-02
   250.000000     ,   50.0000000     ,   54.9375000     ,  0.102827139    
   350.000000     ,   50.0000000     ,   54.9375000     ,  0.208514318    
   450.000000     ,   50.0000000     ,   54.9375000     ,   0.00000000    
   550.000000     ,   50.0000000     ,   54.9375000     ,   0.00000000    
   650.000000     ,   50.0000000     ,   54.9375000     ,   2.24096727    
   750.000000     ,   50.0000000     ,   54.9375000     ,  0.178777292    
   850.000000     ,   50.0000000     ,   54.9375000     ,   3.90865803E-02
   950.000000     ,   50.0000000     ,   54.9375000     ,  0.135559127    
   1050.00000     ,   50.0000000     ,   54.9375000     ,   0.00000000    
   1150.00000     ,   50.0000000     ,   54.9375000     ,   6.71337247E-02
   1250.00000     ,   50.0000000     ,   54.9375000     ,   1.89782772E-02
   1350.00000     ,   50.0000000     ,   54.9375000     ,   5.06008267E-02
   1450.00000     ,   50.0000000     ,   54.9375000     ,   4.88398857E-02
   1550.00000     ,   50.0000000     ,   54.9375000     ,   4.93533276E-02
   1650.00000     ,   50.0000000     ,   54.9375000     ,   4.97735627E-02
   1750.00000     ,   50.0000000     ,   54.9375000     ,   6.12508431E-02
   1850.00000     ,   50.0000000     ,   54.9375000     ,   4.88165691E-02
   1950.00000     ,   50.0000000     ,   54.9375000     ,   5.87343983E-02
   2050.00000     ,   50.0000000     ,   54.9375000     ,   4.74466048E-02
   2150.00000     ,   50.0000000     ,   54.9375000     ,   4.11008149E-02
   2250.00000     ,   50.0000000     ,   54.9375000     ,   4.92770448E-02
   2350.00000     ,   50.0000000     ,   54.9375000     ,   4.02912460E-02
   2450.00000     ,   50.0000000     ,   54.9375000     ,   5.59336022E-02
   2550.00000     ,   50.0000000     ,   54.9375000     ,   2.32423041E-02
   2650.00000     ,   50.0000000     ,   54.9375000     ,   3.66850346E-02
   2750.00000     ,   50.0000000     ,   54.9375000     ,   1.77108552E-02
   2850.00000     ,   50.0000000     ,   54.9375000     ,   4.27664444E-02
   2950.00000     ,   50.0000000     ,   54.9375000     ,   1.88899487E-02
   3050.00000     ,   50.0000000     ,   54.9375000     ,   4.68083359E-02
   3150.00000     ,   50.0000000     ,   54.9375000     ,   1.14293024E-02
   3250.00000     ,   50.0000000     ,   54.9375000     ,   2.78329849E-02
   3350.00000     ,   50.0000000     ,   54.9375000     ,   2.65418198E-02
   3450.00000     ,   50.0000000     ,   54.9375000     ,   4.28428277E-02
   3550.00000     ,   50.0000000     ,   54.9375000     ,   3.28458548E-02
   3650.00000     ,   50.0000000     ,   54.9375000     ,   3.90884578E-02
   3750.00000     ,   50.0000000     ,   54.9375000     ,   1.38959615E-02
   3850.00000     ,   50.0000000     ,   54.9375000     ,   3.86954881E-02
   3950.00000     ,   50.0000000     ,   54.9375000     ,   9.54900496E-03
   4050.00000     ,   50.0000000     ,   54.9375000     ,   4.40757908E-02
   4150.00000     ,   50.0000000     ,   54.9375000     ,   2.91801412E-02
   4250.00000     ,   50.0000000     ,   54.9375000     ,   3.31714191E-02
   4350.00000     ,   50.0000000     ,   54.9375000     ,   1.36322742E-02
   4450.00000     ,   50.0000000     ,   54.9375000     ,   2.71550249E-02
   4550.00000     ,   50.0000000     ,   54.9375000     ,   1.75478626E-02
   4650.00000     ,   50.0000000     ,   54.9375000     ,   3.01593635E-02
   4750.00000     ,   50.0000000     ,   54.9375000     ,   1.94734037E-02
   4850.00000     ,   50.0000000     ,   54.9375000     ,   1.91251934E-02
   4950.00000     ,   50.0000000     ,   54.9375000     ,   2.47623120E-02
   5050.00000     ,   50.0000000     ,   54.9375000     ,   2.86076665E-02
   5150.00000     ,   50.0000000     ,   54.9375000     ,   4.18247767E-02
   5250.00000     ,   50.0000000     ,   54.9375000     ,   3.93672241E-03
   5350.00000     ,   50.0000000     ,   54.9375000     ,   9.10946541E-03
   5450.00000     ,   50.0000000     ,   54.9375000     ,   2.26128567E-03
   5550.00000     ,   50.0000000     ,   54.9375000     ,   2.19433717E-02
   5650.00000     ,   50.0000000     ,   54.9375000     ,   5.47191501E-03
   5750.00000     ,   50.0000000     ,   54.9375000     ,   1.51852537E-02
   5850.00000     ,   50.0000000     ,   54.9375000     ,   5.25978580E-03
   5950.00000     ,   50.0000000     ,   54.9375000     ,   4.35070731E-02
   50.0000000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   150.000000     ,   150.000000     ,   54.9375000     ,   2.43082903E-02
   250.000000     ,   150.000000     ,   54.9375000     ,   1.87697317E-02
   350.000000     ,   150.000000     ,   54.9375000     ,   9.09099281E-02
   450.000000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   550.000000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   650.000000     ,   150.000000     ,   54.9375000     ,   2.49983954    
   750.000000     ,   150.000000     ,   54.9375000     ,  0.133564800    
   850.000000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   950.000000     ,   150.000000     ,   54.9375000     ,   3.54549773E-02
   1050.00000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   1150.00000     ,   150.000000     ,   54.9375000     ,   2.28639953E-02
   1250.00000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   1350.00000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   1450.00000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   1550.00000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   1650.00000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   1750.00000     ,   150.000000     ,   54.9375000     ,   5.47676161E-03
   1850.00000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   1950.00000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   2050.00000     ,   150.000000     ,   54.9375000     ,   1.28632691E-03
   2150.00000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   2250.00000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   2350.00000     ,   150.000000     ,   54.9375000     ,   1.32321334E-03
   2450.00000     ,   150.000000     ,   54.9375000     ,   0.00000000    
   2550.00000     ,   150.000000     ,   54.9375000     ,   2.47916614E-04
   2650.00000     ,   150.000000     ,   54.9375000     ,   9.91723593E-03
   2750.00000     ,   150.000000     ,   54.9375000     ,   8.73692520E-03
