x,z,data
   10150.0000     ,   54.9749985     ,   3.81611362E-02
   10250.0000     ,   54.9749985     ,  0.105055839    
   10350.0000     ,   54.9749985     ,   4.59941179E-02
   10450.0000     ,   54.9749985     ,  0.105142772    
   10550.0000     ,   54.9749985     ,   3.19650806E-02
   10650.0000     ,   54.9749985     ,   2.27742158E-02
   10750.0000     ,   54.9749985     ,   4.18698452E-02
   10850.0000     ,   54.9749985     ,   3.43448669E-02
   10950.0000     ,   54.9749985     ,   2.02573165E-02
   11050.0000     ,   54.9749985     ,   2.11446732E-03
   11150.0000     ,   54.9749985     ,   0.00000000    
   11250.0000     ,   54.9749985     ,   4.64580469E-02
   11350.0000     ,   54.9749985     ,   3.42016518E-02
   11450.0000     ,   54.9749985     ,  0.144003332    
   11550.0000     ,   54.9749985     ,   5.70185594E-02
   11650.0000     ,   54.9749985     ,  0.151525885    
   11750.0000     ,   54.9749985     ,   7.90692493E-03
   11850.0000     ,   54.9749985     ,   5.18697090E-02
   11950.0000     ,   54.9749985     ,   3.51232971E-04
   12050.0000     ,   54.9749985     ,   6.29432350E-02
   12150.0000     ,   54.9749985     ,   7.29091372E-03
   12250.0000     ,   54.9749985     ,   1.83004439E-02
   12350.0000     ,   54.9749985     ,   2.26599164E-02
   12450.0000     ,   54.9749985     ,   3.33492495E-02
   12550.0000     ,   54.9749985     ,   5.05745225E-02
   12650.0000     ,   54.9749985     ,   2.23664064E-02
   12750.0000     ,   54.9749985     ,   6.69584498E-02
   12850.0000     ,   54.9749985     ,   1.66473836E-02
   12950.0000     ,   54.9749985     ,   2.39896476E-02
   13050.0000     ,   54.9749985     ,   1.36608081E-02
   13150.0000     ,   54.9749985     ,   3.15059733E-04
   13250.0000     ,   54.9749985     ,   3.15557607E-02
   13350.0000     ,   54.9749985     ,   1.51342517E-02
   13450.0000     ,   54.9749985     ,   9.28566605E-02
   13550.0000     ,   54.9749985     ,   1.73832495E-02
   13650.0000     ,   54.9749985     ,   8.32979828E-02
   13750.0000     ,   54.9749985     ,   0.00000000    
   13850.0000     ,   54.9749985     ,   4.51885797E-02
   13950.0000     ,   54.9749985     ,   9.65874584E-04
   14050.0000     ,   54.9749985     ,   2.28391718E-02
   14150.0000     ,   54.9749985     ,   2.96268295E-02
   14250.0000     ,   54.9749985     ,   7.08434209E-02
   14350.0000     ,   54.9749985     ,   6.42376766E-02
   14450.0000     ,   54.9749985     ,   3.09421234E-02
   14550.0000     ,   54.9749985     ,   2.57032528E-03
   14650.0000     ,   54.9749985     ,   1.57370651E-03
   14750.0000     ,   54.9749985     ,   5.05298143E-03
   14850.0000     ,   54.9749985     ,   0.00000000    
   14950.0000     ,   54.9749985     ,   2.09329207E-03
   50.0000000     ,   154.924988     ,  0.171417981    
   150.000000     ,   154.924988     ,   1.54558830E-02
   250.000000     ,   154.924988     ,   4.27398132E-03
   350.000000     ,   154.924988     ,  0.158820331    
   450.000000     ,   154.924988     ,   9.87137556E-02
   550.000000     ,   154.924988     ,   6.39080033E-02
   650.000000     ,   154.924988     ,   1.34476339E-02
   750.000000     ,   154.924988     ,   9.44545493E-02
   850.000000     ,   154.924988     ,   9.62302834E-02
   950.000000     ,   154.924988     ,  0.153573230    
   1050.00000     ,   154.924988     ,   3.06768785E-03
   1150.00000     ,   154.924988     ,   2.55154464E-02
   1250.00000     ,   154.924988     ,   3.07820141E-02
   1350.00000     ,   154.924988     ,   5.07496111E-02
   1450.00000     ,   154.924988     ,   6.10087141E-02
   1550.00000     ,   154.924988     ,   0.00000000    
   1650.00000     ,   154.924988     ,   3.89802791E-02
   1750.00000     ,   154.924988     ,   1.36444287E-04
   1850.00000     ,   154.924988     ,   1.78918969E-02
   1950.00000     ,   154.924988     ,  0.216184989    
   2050.00000     ,   154.924988     ,   1.68381613E-02
   2150.00000     ,   154.924988     ,   3.99105027E-02
   2250.00000     ,   154.924988     ,   1.68137476E-02
   2350.00000     ,   154.924988     ,   2.86395513E-02
   2450.00000     ,   154.924988     ,   5.94123378E-02
   2550.00000     ,   154.924988     ,   0.00000000    
   2650.00000     ,   154.924988     ,   5.36280423E-02
   2750.00000     ,   154.924988     ,   2.79388353E-02
   2850.00000     ,   154.924988     ,   1.35493674E-03
   2950.00000     ,   154.924988     ,   2.17777155E-02
   3050.00000     ,   154.924988     ,  0.129415542    
   3150.00000     ,   154.924988     ,   4.27751690E-02
   3250.00000     ,   154.924988     ,   7.12046847E-02
   3350.00000     ,   154.924988     ,   7.18415156E-02
   3450.00000     ,   154.924988     ,   0.00000000    
   3550.00000     ,   154.924988     ,   1.26803406E-02
   3650.00000     ,   154.924988     ,  0.327603638    
   3750.00000     ,   154.924988     ,   0.00000000    
   3850.00000     ,   154.924988     ,   1.91411041E-02
   3950.00000     ,   154.924988     ,   0.00000000    
   4050.00000     ,   154.924988     ,  0.190352663    
   4150.00000     ,   154.924988     ,   3.15300189E-02
   4250.00000     ,   154.924988     ,   0.00000000    
   4350.00000     ,   154.924988     ,  0.150506631    
   4450.00000     ,   154.924988     ,   3.71713340E-02
   4550.00000     ,   154.924988     ,  0.176139042    
   4650.00000     ,   154.924988     ,   1.56334732E-02
   4750.00000     ,   154.924988     ,   1.38957473E-03
   4850.00000     ,   154.924988     ,   1.55917527E-02
   4950.00000     ,   154.924988     ,   2.50851223E-03
   5050.00000     ,   154.924988     ,   9.43659842E-02
   5150.00000     ,   154.924988     ,   6.19353056E-02
   5250.00000     ,   154.924988     ,  0.112754241    
   5350.00000     ,   154.924988     ,   4.15687859E-02
   5450.00000     ,   154.924988     ,   7.08412454E-02
   5550.00000     ,   154.924988     ,   7.34412447E-02
   5650.00000     ,   154.924988     ,   0.00000000    
   5750.00000     ,   154.924988     ,  0.242713168    
   5850.00000     ,   154.924988     ,   2.68048123E-02
   5950.00000     ,   154.924988     ,   1.39733665E-02
   6050.00000     ,   154.924988     ,   5.55779226E-02
   6150.00000     ,   154.924988     ,   0.00000000    
   6250.00000     ,   154.924988     ,   2.08713822E-02
   6350.00000     ,   154.924988     ,   9.36291665E-02
   6450.00000     ,   154.924988     ,   2.34618131E-02
   6550.00000     ,   154.924988     ,   7.06110243E-03
   6650.00000     ,   154.924988     ,   2.74460530E-04
   6750.00000     ,   154.924988     ,  0.235030815    
   6850.00000     ,   154.924988     ,   1.09159853E-02
   6950.00000     ,   154.924988     ,   0.00000000    
   7050.00000     ,   154.924988     ,   2.84151658E-02
   7150.00000     ,   154.924988     ,   2.92201024E-02
   7250.00000     ,   154.924988     ,   0.00000000    
   7350.00000     ,   154.924988     ,   4.53656400E-03
   7450.00000     ,   154.924988     ,   2.28547659E-02
   7550.00000     ,   154.924988     ,   1.17670521E-02
   7650.00000     ,   154.924988     ,   0.00000000    
   7750.00000     ,   154.924988     ,   3.57761011E-02
   7850.00000     ,   154.924988     ,   0.00000000    
   7950.00000     ,   154.924988     ,  0.119368315    
   8050.00000     ,   154.924988     ,   2.72410922E-02
   8150.00000     ,   154.924988     ,   0.00000000    
   8250.00000     ,   154.924988     ,   3.79508361E-02
   8350.00000     ,   154.924988     ,   7.69517757E-03
   8450.00000     ,   154.924988     ,  0.126567125    
   8550.00000     ,   154.924988     ,  0.134836778    
   8650.00000     ,   154.924988     ,   0.00000000    
   8750.00000     ,   154.924988     ,   6.38039364E-03
   8850.00000     ,   154.924988     ,  0.211354792    
   8950.00000     ,   154.924988     ,   0.00000000    
   9050.00000     ,   154.924988     ,  0.164518803    
   9150.00000     ,   154.924988     ,   4.68587615E-02
   9250.00000     ,   154.924988     ,   0.00000000    
   9350.00000     ,   154.924988     ,   2.95077357E-02
   9450.00000     ,   154.924988     ,   3.96174304E-02
   9550.00000     ,   154.924988     ,   5.96759953E-02
   9650.00000     ,   154.924988     ,  0.139849961    
   9750.00000     ,   154.924988     ,   1.86705478E-02
   9850.00000     ,   154.924988     ,   5.27947061E-02
   9950.00000     ,   154.924988     ,   8.77715573E-02
   10050.0000     ,   154.924988     ,   9.88016576E-02
   10150.0000     ,   154.924988     ,   5.92989735E-02
   10250.0000     ,   154.924988     ,   0.00000000    
   10350.0000     ,   154.924988     ,  0.106642269    
   10450.0000     ,   154.924988     ,   0.00000000    
   10550.0000     ,   154.924988     ,   6.77573085E-02
   10650.0000     ,   154.924988     ,  0.269108921    
   10750.0000     ,   154.924988     ,   0.00000000    
   10850.0000     ,   154.924988     ,  0.112664051    
   10950.0000     ,   154.924988     ,   6.37977868E-02
   11050.0000     ,   154.924988     ,  0.105752453    
   11150.0000     ,   154.924988     ,   1.66876130E-02
   11250.0000     ,   154.924988     ,   9.77490619E-02
   11350.0000     ,   154.924988     ,   1.44777365E-03
   11450.0000     ,   154.924988     ,   0.00000000    
   11550.0000     ,   154.924988     ,   7.95697048E-02
   11650.0000     ,   154.924988     ,   0.00000000    
   11750.0000     ,   154.924988     ,   7.73738846E-02
   11850.0000     ,   154.924988     ,  0.177423641    
   11950.0000     ,   154.924988     ,   2.81239245E-02
   12050.0000     ,   154.924988     ,   1.34236785E-02
   12150.0000     ,   154.924988     ,   5.69998063E-02
   12250.0000     ,   154.924988     ,   4.54721712E-02
   12350.0000     ,   154.924988     ,   4.71427664E-02
   12450.0000     ,   154.924988     ,   1.51068019E-03
   12550.0000     ,   154.924988     ,   7.37990662E-02
   12650.0000     ,   154.924988     ,   2.93916389E-02
   12750.0000     ,   154.924988     ,   0.00000000    
   12850.0000     ,   154.924988     ,   2.49380711E-02
   12950.0000     ,   154.924988     ,   5.28945699E-02
   13050.0000     ,   154.924988     ,   2.08002352E-03
   13150.0000     ,   154.924988     ,   2.99658190E-04
   13250.0000     ,   154.924988     ,   7.15778843E-02
   13350.0000     ,   154.924988     ,   1.90437976E-02
   13450.0000     ,   154.924988     ,   0.00000000    
   13550.0000     ,   154.924988     ,  0.101168007    
   13650.0000     ,   154.924988     ,   2.18968373E-02
   13750.0000     ,   154.924988     ,  0.106128395    
   13850.0000     ,   154.924988     ,   7.04325512E-02
   13950.0000     ,   154.924988     ,   2.04409733E-02
   14050.0000     ,   154.924988     ,  0.108821824    
