x,z,data
   50.0000000     ,   54.9749985     ,   2.29659709E-04
   150.000000     ,   54.9749985     ,   1.95333967E-04
   250.000000     ,   54.9749985     ,   2.59537373E-05
   350.000000     ,   54.9749985     ,  0.166016176    
   450.000000     ,   54.9749985     ,   2.74043210E-04
   550.000000     ,   54.9749985     ,   9.68932116E-04
   650.000000     ,   54.9749985     ,   6.83648104E-04
   750.000000     ,   54.9749985     ,   9.81021449E-02
   850.000000     ,   54.9749985     ,   9.69965607E-02
   950.000000     ,   54.9749985     ,  0.155439064    
   1050.00000     ,   54.9749985     ,   2.89352965E-02
   1150.00000     ,   54.9749985     ,   7.88186491E-02
   1250.00000     ,   54.9749985     ,   4.28390864E-04
   1350.00000     ,   54.9749985     ,   3.97239365E-02
   1450.00000     ,   54.9749985     ,   4.32667148E-04
   1550.00000     ,   54.9749985     ,   2.96983644E-02
   1650.00000     ,   54.9749985     ,   2.71995872E-04
   1750.00000     ,   54.9749985     ,   2.07795863E-04
   1850.00000     ,   54.9749985     ,   9.80541762E-03
   1950.00000     ,   54.9749985     ,   1.03655628E-04
   2050.00000     ,   54.9749985     ,   8.82327259E-02
   2150.00000     ,   54.9749985     ,   4.92037050E-02
   2250.00000     ,   54.9749985     ,   4.75058943E-04
   2350.00000     ,   54.9749985     ,   2.75862782E-04
   2450.00000     ,   54.9749985     ,  0.107570872    
   2550.00000     ,   54.9749985     ,   4.83108461E-02
   2650.00000     ,   54.9749985     ,   3.60761878E-05
   2750.00000     ,   54.9749985     ,  0.116102032    
   2850.00000     ,   54.9749985     ,   3.51374219E-05
   2950.00000     ,   54.9749985     ,   1.72089585E-05
   3050.00000     ,   54.9749985     ,   9.81782004E-02
   3150.00000     ,   54.9749985     ,   2.90659023E-04
   3250.00000     ,   54.9749985     ,   2.49611388E-04
   3350.00000     ,   54.9749985     ,   9.84566882E-02
   3450.00000     ,   54.9749985     ,   1.93729546E-04
   3550.00000     ,   54.9749985     ,   5.38858993E-04
   3650.00000     ,   54.9749985     ,   4.68288519E-04
   3750.00000     ,   54.9749985     ,   5.92721291E-02
   3850.00000     ,   54.9749985     ,  0.128304809    
   3950.00000     ,   54.9749985     ,   3.06126680E-02
   4050.00000     ,   54.9749985     ,   2.00807559E-03
   4150.00000     ,   54.9749985     ,   2.40444602E-03
   4250.00000     ,   54.9749985     ,   2.07099458E-03
